rank,subject,subject_label,object,object_label,resnik,cosine
1,HP:0034510,Abnormal muscle tissue enzyme activity or level,HP:0034526,Abnormal enzyme activity in muscle tissue,0.7802336900383903,0.9499381961299229
2,HP:0034526,Abnormal enzyme activity in muscle tissue,HP:0034510,Abnormal muscle tissue enzyme activity or level,0.7802336900383903,0.9499381961299229
3,HP:0004467,Preauricular pit,HP:0030025,Auricular pit,0.7802336900383903,0.9424186041974442
4,HP:0030025,Auricular pit,HP:0004467,Preauricular pit,0.7802336900383903,0.9424186041974442
5,HP:0003472,Hypocalcemic tetany,HP:0001281,Tetany,0.7802336900383903,0.9176222912514153
6,HP:0001281,Tetany,HP:0003472,Hypocalcemic tetany,0.7802336900383903,0.9176222912514153
7,HP:0031749,Abnormal lateral rectus muscle physiology,HP:3000069,Abnormality of lateral rectus extra-ocular muscle,0.7802336900383903,0.9129393723883594
8,HP:3000069,Abnormality of lateral rectus extra-ocular muscle,HP:0031749,Abnormal lateral rectus muscle physiology,0.7802336900383903,0.9129393723883594
9,HP:0011426,Fetal choroid plexus cysts,HP:0002190,Choroid plexus cyst,0.7802336900383903,0.9110730647765083
10,HP:0002190,Choroid plexus cyst,HP:0011426,Fetal choroid plexus cysts,0.7802336900383903,0.9110730647765083
11,HP:0005346,Abnormal facial expression,HP:4000089,Abnormal quality of facial expression,0.7802336900383903,0.9098537203952535
12,HP:4000089,Abnormal quality of facial expression,HP:0005346,Abnormal facial expression,0.7802336900383903,0.9098537203952535
13,HP:3000058,Abnormality of inferior rectus extraocular muscle,HP:0025600,Abnormal inferior rectus muscle physiology,0.7802336900383903,0.9068887122460167
14,HP:0025600,Abnormal inferior rectus muscle physiology,HP:3000058,Abnormality of inferior rectus extraocular muscle,0.7802336900383903,0.9068887122460167
15,HP:0011391,Abnormal inner ear nerve morphology,HP:0009591,Abnorma vestibulocochlear nerve morphology,0.7802336900383903,0.905508209040274
16,HP:0009591,Abnorma vestibulocochlear nerve morphology,HP:0011391,Abnormal inner ear nerve morphology,0.7802336900383903,0.905508209040274
17,HP:0004464,Postauricular pit,HP:0030025,Auricular pit,0.7802336900383903,0.9029052777330752
18,HP:0030025,Auricular pit,HP:0004464,Postauricular pit,0.7802336900383903,0.9029052777330752
19,HP:0002011,Morphological central nervous system abnormality,HP:0034206,Abnormal fetal central nervous system morphology,0.7802336900383903,0.9012663803617083
20,HP:0034206,Abnormal fetal central nervous system morphology,HP:0002011,Morphological central nervous system abnormality,0.7802336900383903,0.9012663803617083
21,HP:0011432,Elevated maternal circulating alpha-fetoprotein concentration,HP:0006254,Elevated circulating alpha-fetoprotein concentration,0.7303410244568754,0.9003908973889986
22,HP:0006254,Elevated circulating alpha-fetoprotein concentration,HP:0011432,Elevated maternal circulating alpha-fetoprotein concentration,0.7303410244568754,0.9003908973889986
23,HP:0034192,Pulmonary thromboembolism,HP:0002204,Pulmonary embolism,0.7802336900383903,0.8974097866655548
24,HP:0002204,Pulmonary embolism,HP:0034192,Pulmonary thromboembolism,0.7802336900383903,0.8974097866655548
25,HP:0000465,Webbed neck,HP:0009759,Neck pterygia,0.7802336900383903,0.8973450512766739
26,HP:0009759,Neck pterygia,HP:0000465,Webbed neck,0.7802336900383903,0.8973450512766739
27,HP:0033805,Non-necrotizing granuloma,HP:0033551,Non-necrotizing pulmonary granulomatosis,0.7802336900383903,0.8969164010690652
28,HP:0033551,Non-necrotizing pulmonary granulomatosis,HP:0033805,Non-necrotizing granuloma,0.7802336900383903,0.8969164010690652
29,HP:0005346,Abnormal facial expression,HP:4000087,Abnormal communicative facial expressions,0.7802336900383903,0.895752637838048
30,HP:4000087,Abnormal communicative facial expressions,HP:0005346,Abnormal facial expression,0.7802336900383903,0.895752637838048
31,HP:0005716,Lethal skeletal dysplasia,HP:0008909,Lethal short-limbed short stature,0.7802336900383903,0.8952931687740223
32,HP:0008909,Lethal short-limbed short stature,HP:0005716,Lethal skeletal dysplasia,0.7802336900383903,0.8952931687740223
33,HP:0008058,Aplasia/Hypoplasia of the optic nerve,HP:0011000,Aplasia/Hypoplasia of the optic tract,0.7802336900383903,0.892922999913942
34,HP:0011000,Aplasia/Hypoplasia of the optic tract,HP:0008058,Aplasia/Hypoplasia of the optic nerve,0.7802336900383903,0.892922999913942
35,HP:0008845,Mesomelic short stature,HP:0005011,Mesomelic arm shortening,0.7802336900383903,0.892429419056206
36,HP:0005011,Mesomelic arm shortening,HP:0008845,Mesomelic short stature,0.7802336900383903,0.892429419056206
37,HP:0011447,Hyposegmentation of neutrophil nuclei,HP:0410311,Hyposegmentation of neutrophil nuclei in CSF,0.7802336900383903,0.8916900846435313
38,HP:0410311,Hyposegmentation of neutrophil nuclei in CSF,HP:0011447,Hyposegmentation of neutrophil nuclei,0.7802336900383903,0.8916900846435313
39,HP:0011432,Elevated maternal circulating alpha-fetoprotein concentration,HP:0045056,Abnormal circulating alpha-fetoprotein concentration,0.7303410244568754,0.8905672268999165
40,HP:0045056,Abnormal circulating alpha-fetoprotein concentration,HP:0011432,Elevated maternal circulating alpha-fetoprotein concentration,0.7303410244568754,0.8905672268999165
41,HP:0011862,Abnormal bone collagen fibril morphology,HP:0031512,Abnormal cutaneous collagen fibril morphology,0.7802336900383903,0.889904332499341
42,HP:0031512,Abnormal cutaneous collagen fibril morphology,HP:0011862,Abnormal bone collagen fibril morphology,0.7802336900383903,0.889904332499341
43,HP:0030025,Auricular pit,HP:0008606,Supraauricular pit,0.7802336900383903,0.8894760130896645
44,HP:0008606,Supraauricular pit,HP:0030025,Auricular pit,0.7802336900383903,0.8894760130896645
45,HP:0025274,Ovarian dermoid cyst,HP:0025247,Dermoid cyst,0.7802336900383903,0.8883828788630593
46,HP:0025247,Dermoid cyst,HP:0025274,Ovarian dermoid cyst,0.7802336900383903,0.8883828788630593
47,HP:0006558,Decreased mitochondrial complex III activity in liver tissue,HP:0011924,Decreased activity of mitochondrial complex III,0.7802336900383903,0.8881043973567805
48,HP:0011924,Decreased activity of mitochondrial complex III,HP:0006558,Decreased mitochondrial complex III activity in liver tissue,0.7802336900383903,0.8881043973567805
49,HP:0025596,Abnormal inferior oblique muscle physiology,HP:3000057,Abnormality of inferior oblique extraocular muscle,0.7802336900383903,0.888073124285706
50,HP:3000057,Abnormality of inferior oblique extraocular muscle,HP:0025596,Abnormal inferior oblique muscle physiology,0.7802336900383903,0.888073124285706
51,HP:0010536,Central sleep apnea,HP:0002871,Central apnea,0.7802336900383903,0.8879087195299719
52,HP:0002871,Central apnea,HP:0010536,Central sleep apnea,0.7802336900383903,0.8879087195299719
53,HP:0000384,Preauricular skin tag,HP:0030021,Auricular tag,0.7802336900383903,0.8876321036380185
54,HP:0030021,Auricular tag,HP:0000384,Preauricular skin tag,0.7802336900383903,0.8876321036380185
55,HP:0003614,Trimethylaminuria,HP:0410020,Fish odor,0.7802336900383903,0.8846834491763861
56,HP:0410020,Fish odor,HP:0003614,Trimethylaminuria,0.7802336900383903,0.8846834491763861
57,HP:0034627,Bone marrow xanthomatosis,HP:0034629,Xanthoma of bone,0.7802336900383903,0.8835455844334832
58,HP:0034629,Xanthoma of bone,HP:0034627,Bone marrow xanthomatosis,0.7802336900383903,0.8835455844334832
59,HP:0030021,Auricular tag,HP:0004451,Postauricular skin tag,0.7802336900383903,0.8832369334042497
60,HP:0004451,Postauricular skin tag,HP:0030021,Auricular tag,0.7802336900383903,0.8832369334042497
61,HP:0012099,Abnormality of circulating catecholamine level,HP:0011281,Abnormality of urine catecholamine level,0.7802336900383903,0.8824859213497385
62,HP:0011281,Abnormality of urine catecholamine level,HP:0012099,Abnormality of circulating catecholamine level,0.7802336900383903,0.8824859213497385
63,HP:0031476,Abnormal buccal mucosa cell morphology,HP:3000019,Abnormal buccal mucosa morphology,0.7802336900383903,0.8815784895254402
64,HP:3000019,Abnormal buccal mucosa morphology,HP:0031476,Abnormal buccal mucosa cell morphology,0.7802336900383903,0.8815784895254402
65,HP:0004311,Abnormal macrophage morphology,HP:0032984,Abnormal alveolar macrophage morphology,0.7802336900383903,0.8813712519820751
66,HP:0032984,Abnormal alveolar macrophage morphology,HP:0004311,Abnormal macrophage morphology,0.7802336900383903,0.8813712519820751
67,HP:0000625,Eyelid coloboma,HP:0000589,Coloboma,0.7802336900383903,0.8809214813101992
68,HP:0000589,Coloboma,HP:0000625,Eyelid coloboma,0.7802336900383903,0.8809214813101992
